,close,predictions,to change,buy & hold result,algo result from "yesterday"
4866,1124.61,0,-0.002027369,1147.643199,1194.195488
4867,1122.33,1,0.000588062,1145.316502,1194.195488
4868,1122.99,0,-0.00109529,1145.99002,1194.89775
4869,1121.76,0,-0.002362359,1144.734828,1194.89775
4870,1119.11,1,-4.46784E-05,1142.030553,1194.89775
4871,1119.06,0,3.57443E-05,1141.979529,1194.844364
4872,1119.1,0,-1.78715E-05,1142.020348,1194.844364
4873,1119.08,0,-0.001358259,1141.999939,1194.844364
4874,1117.56,1,0.001378002,1140.448808,1194.844364
4875,1119.1,0,-0.004137253,1142.020348,1196.490862
4876,1114.47,1,0.000565291,1137.295521,1196.490862
4877,1115.1,0,0.000403551,1137.938424,1197.167227
4878,1115.55,0,-0.000475102,1138.397641,1197.167227
4879,1115.02,1,0.000475328,1137.856786,1197.167227
4880,1115.55,0,0.003092645,1138.397641,1197.736274
4881,1119,0,6.25559E-05,1141.9183,1197.736274
4882,1119.07,0,2.6808E-05,1141.989734,1197.736274
4883,1119.1,1,-1.78715E-05,1142.020348,1197.736274
4884,1119.08,0,0,1141.999939,1197.714869
4885,1119.08,0,0,1141.999939,1197.714869
4886,1119.08,0,0,1141.999939,1197.714869
4887,1119.08,0,0,1141.999939,1197.714869
4888,1119.08,0,0.000822104,1141.999939,1197.714869
4889,1120,0,0.002678571,1142.938781,1197.714869
4890,1123,1,-1.78094E-05,1146.000225,1197.714869
4891,1122.98,0,0,1145.979815,1197.693538
4892,1122.98,0,-8.01439E-05,1145.979815,1197.693538
4893,1122.89,0,-6.23391E-05,1145.887972,1197.693538
4894,1122.82,0,6.2343E-05,1145.816538,1197.693538
4895,1122.89,0,-1.78112E-05,1145.887972,1197.693538
4896,1122.87,0,0.001522883,1145.867562,1197.693538
4897,1124.58,1,-8.00299E-05,1147.612585,1197.693538
4898,1124.49,1,7.11434E-05,1147.520741,1197.597687
4899,1124.57,1,0.001404981,1147.60238,1197.682888
4900,1126.15,1,0.000266394,1149.21474,1199.36561
4901,1126.45,0,3.55098E-05,1149.520884,1199.685115
4902,1126.49,0,-1.77543E-05,1149.561703,1199.685115
4903,1126.47,0,1.77546E-05,1149.541294,1199.685115
4904,1126.49,0,-8.87713E-06,1149.561703,1199.685115
4905,1126.48,0,8.87721E-06,1149.551499,1199.685115
4906,1126.49,0,0,1149.561703,1199.685115
4907,1126.49,0,0,1149.561703,1199.685115
4908,1126.49,0,8.87713E-06,1149.561703,1199.685115
4909,1126.5,0,0.003098091,1149.571908,1199.685115
4910,1129.99,1,0.001053107,1153.133387,1199.685115
4911,1131.18,1,2.6521E-05,1154.34776,1200.948511
4912,1131.21,0,0.004676408,1154.378374,1200.980361
4913,1136.5,1,-0.000439947,1159.776719,1200.980361
4914,1136,1,0.000792254,1159.266478,1200.451993
4915,1136.9,1,8.79585E-05,1160.184911,1201.403056
4916,1137,1,0.000562885,1160.286959,1201.508729
4917,1137.64,0,5.27408E-05,1160.940067,1202.18504
4918,1137.7,0,0.000175793,1161.001296,1202.18504
4919,1137.9,0,-7.03049E-05,1161.205392,1202.18504
4920,1137.82,0,6.15212E-05,1161.123754,1202.18504
4921,1137.89,0,8.7882E-06,1161.195187,1202.18504
4922,1137.9,0,0.000870024,1161.205392,1202.18504
4923,1138.89,0,-0.000579512,1162.215668,1202.18504
4924,1138.23,0,-0.000193283,1161.542151,1202.18504
4925,1138.01,1,-0.000887514,1161.317645,1202.18504
4926,1137,0,-0.001759015,1160.286959,1201.118084
4927,1135,0,-0.004678414,1158.245997,1201.118084
4928,1129.69,0,-0.003390311,1152.827243,1201.118084
4929,1125.86,0,0.002344874,1148.9188,1201.118084
4930,1128.5,1,0,1151.61287,1201.118084
4931,1128.5,1,0.003101462,1151.61287,1201.118084
4932,1132,1,-0.00065371,1155.184554,1204.843306
4933,1131.26,1,3.53588E-05,1154.429398,1204.055688
4934,1131.3,0,0.00057456,1154.470217,1204.098262
4935,1131.95,0,0.001784531,1155.13353,1204.098262
4936,1133.97,0,1.76372E-05,1157.194902,1204.098262
4937,1133.99,0,0.002257515,1157.215311,1204.098262
4938,1136.55,1,0,1159.827743,1204.098262
4939,1136.55,0,-0.000483921,1159.827743,1204.098262
4940,1136,0,0.002420775,1159.266478,1204.098262
4941,1138.75,1,-0.000228321,1162.072801,1204.098262
4942,1138.49,0,0.000351343,1161.807476,1203.823342
4943,1138.89,0,-0.00036,1162.215668,1203.823342
4944,1138.48,1,0.00028986,1161.797271,1203.823342
4945,1138.81,0,0.000245871,1162.13403,1204.172282
4946,1139.09,0,0,1162.419765,1204.172282
4947,1139.09,0,-8.77894E-06,1162.419765,1204.172282
4948,1139.08,0,1.7558E-05,1162.40956,1204.172282
4949,1139.1,0,0,1162.429969,1204.172282
4950,1139.1,0,0.000149241,1162.429969,1204.172282
4951,1139.27,0,0,1162.603451,1204.172282
4952,1139.27,0,0.00035988,1162.603451,1204.172282
4953,1139.68,0,-0.00035975,1163.021848,1204.172282
4954,1139.27,1,-0.001983726,1162.603451,1204.172282
4955,1137.01,1,0.002532959,1160.297164,1201.783534
4956,1139.89,0,8.77278E-06,1163.23615,1204.827602
4957,1139.9,0,-8.7727E-06,1163.246354,1204.827602
4958,1139.89,0,0,1163.23615,1204.827602
4959,1139.89,0,0,1163.23615,1204.827602
4960,1139.89,0,0,1163.23615,1204.827602
4961,1139.89,0,0,1163.23615,1204.827602
4962,1139.89,0,0,1163.23615,1204.827602
4963,1139.89,0,0,1163.23615,1204.827602
4964,1139.89,0,0,1163.23615,1204.827602
4965,1139.89,0,0,1163.23615,1204.827602
4966,1139.89,0,0,1163.23615,1204.827602
4967,1139.89,0,-8.77278E-06,1163.23615,1204.827602
4968,1139.88,1,8.77285E-06,1163.225945,1204.827602
4969,1139.89,0,-0.000693049,1163.23615,1204.838172
4970,1139.1,1,0.000702309,1162.429969,1204.838172
4971,1139.9,0,8.7727E-05,1163.246354,1205.684341
4972,1140,0,0,1163.348402,1205.684341
4973,1140,0,0.000307018,1163.348402,1205.684341
4974,1140.35,0,0.00114877,1163.705571,1205.684341
4975,1141.66,0,0,1165.042401,1205.684341
4976,1141.66,0,0,1165.042401,1205.684341
4977,1141.66,1,0,1165.042401,1205.684341
4978,1141.66,0,0,1165.042401,1205.684341
4979,1141.66,0,0,1165.042401,1205.684341
4980,1141.66,0,0,1165.042401,1205.684341
4981,1141.66,0,0.000297812,1165.042401,1205.684341
4982,1142,0,-8.75657E-06,1165.389365,1205.684341
4983,1141.99,0,0,1165.37916,1205.684341
4984,1141.99,0,0,1165.37916,1205.684341
4985,1141.99,0,0,1165.37916,1205.684341
4986,1141.99,0,0,1165.37916,1205.684341
